word1,word2,part1,part2,part3,part4,part5,part6,part7,part8,part9,part10,part11,part12,part13,part14,part15,part16,part17,part18,part19,part20,part21,part22,part23,part24,part25
carattere,logo,1,5,6,6,5,4,7,6,5,3,5,4,1,3,3,4,6,7,5,2,5,7,6,3,6
coperta,lenzuolo,1,5,7,7,7,6,7,7,7,7,7,7,7,7,6,6,7,7,7,7,7,7,7,7,6
barba,guancia,1,5,6,7,6,5,3,6,7,6,7,4,5,5,5,5,7,6,7,6,5,7,6,6,5
seno,collo,3,5,5,7,4,6,3,2,5,5,7,7,5,6,3,5,6,4,7,3,7,7,5,6,5
barattolo,scala,1,2,1,1,2,2,1,1,1,1,2,1,1,1,1,1,5,1,1,1,7,1,1,1,5
calzino,lana,1,7,6,6,6,5,7,6,4,4,7,7,3,5,7,5,3,6,4,4,6,5,7,6,7
costume,prodotto,1,3,3,4,2,5,4,2,6,2,5,1,5,5,4,1,3,4,2,2,3,1,2,4,2
cisterna,stalla,3,6,2,1,2,4,1,2,1,4,5,1,1,3,3,5,5,4,5,3,3,2,5,5,2
cognato,agente,2,3,3,1,3,4,1,2,4,4,4,2,4,2,2,1,2,3,1,1,6,1,3,3,1
persona,tifoso,1,3,5,5,4,4,1,4,4,5,6,4,3,2,6,4,4,5,2,4,7,6,3,6,4
amico,autore,2,3,4,1,1,4,1,4,1,2,5,2,3,2,3,4,5,2,4,2,5,3,2,4,2
marocchino,connazionale,3,3,5,1,5,4,1,5,7,5,5,4,5,5,2,5,1,4,6,2,5,7,7,4,5
ragazzino,uomo,1,6,6,7,6,5,6,6,7,7,7,5,7,4,4,5,5,6,7,6,7,7,7,6,6
controllore,ispettore,4,7,7,7,5,7,7,7,6,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,6
margine,cappotto,2,1,1,1,1,1,2,3,1,1,3,1,1,1,1,1,1,2,1,1,1,1,2,1,3
biancheria,reggiseno,1,7,7,7,6,6,6,7,7,7,7,7,5,6,6,6,7,7,7,7,6,7,7,7,7
filo,stendardo,1,5,4,7,1,5,1,3,4,5,6,4,2,4,2,3,2,4,4,4,5,3,4,5,3
bambola,pezza,1,5,7,7,5,4,6,7,7,7,7,5,3,6,5,4,6,7,6,2,6,6,6,7,6
divisa,corredo,1,4,3,6,2,4,5,4,7,5,4,5,4,3,1,5,5,4,7,5,6,7,4,6,4
veste,giacca,1,6,7,7,7,6,7,6,4,6,6,6,5,7,5,5,6,7,6,7,7,7,6,6,5
radice,terra,1,6,6,7,7,5,6,6,7,6,6,4,1,5,6,5,7,6,5,2,5,6,6,6,7
ambiente,foresta,2,6,6,7,6,5,6,7,6,5,7,4,4,5,6,5,6,5,6,4,6,5,6,7,6
pennello,occhio,1,4,1,7,1,1,1,2,7,2,3,2,1,1,6,1,1,1,5,1,3,2,2,1,2
ingresso,passaggio,4,5,6,7,5,6,7,5,4,6,6,6,5,7,5,5,3,7,7,3,7,7,7,7,6
cenere,cisterna,5,2,2,1,1,1,1,3,4,1,2,1,1,1,1,1,3,1,1,1,2,1,1,1,2
macchia,sangue,1,5,7,7,3,5,2,7,7,6,7,5,1,5,6,4,7,4,6,5,2,5,5,6,7
preghiera,messa,1,7,7,7,6,5,7,6,7,7,7,7,6,7,7,5,6,7,5,5,6,7,6,7,7
singolo,coro,4,4,6,7,5,5,6,7,4,4,6,4,5,6,3,4,7,7,6,1,7,6,7,2,2
storiella,leggenda,3,4,6,5,6,6,3,6,6,5,6,6,6,6,4,5,6,7,7,5,7,5,6,6,6
testo,orazione,1,4,6,6,6,6,5,6,5,7,6,4,4,3,3,5,4,5,6,4,7,7,7,6,5
brano,storia,4,5,6,7,7,5,4,6,7,5,6,4,5,5,4,6,1,6,6,5,5,6,6,6,7
rima,epopea,1,4,7,6,5,6,5,6,4,5,5,4,3,2,1,5,4,5,5,4,6,6,6,5,6
finestra,tavolo,1,5,4,2,2,3,1,4,3,5,5,3,5,5,5,5,6,5,6,4,5,7,5,4,5
balla,ceppo,6,3,1,6,2,4,2,5,4,1,4,2,4,1,3,3,1,5,5,1,5,2,4,5,2
anello,tazza,3,3,4,1,2,4,6,6,1,3,5,4,7,5,2,1,3,4,7,2,4,1,6,2,4
chitarra,ghiaccio,2,1,1,1,1,1,1,2,7,1,1,1,1,2,1,1,1,1,5,1,1,1,1,1,1
ponte,asse,1,3,3,4,5,6,3,4,7,1,6,5,5,5,1,2,4,7,6,4,2,6,6,5,2
cemento,pallina,1,1,2,1,3,1,1,1,5,1,2,1,1,1,3,1,2,1,1,1,1,2,2,2,1
cerchio,catena,2,6,5,5,4,5,5,6,7,6,4,2,1,5,3,4,7,4,5,5,3,4,5,3,2
pistola,armatura,1,5,6,7,5,6,1,5,7,5,5,4,5,6,5,5,7,5,4,5,7,4,6,7,6
moto,vetro,4,3,3,1,1,1,1,1,1,1,2,1,1,1,1,1,3,1,3,1,1,1,1,3,1
mouse,posata,2,2,2,1,1,3,4,1,1,2,3,1,1,5,3,1,3,4,1,1,3,1,5,4,4
legno,superficie,1,5,5,6,4,5,1,7,7,5,5,4,3,5,4,3,5,6,5,5,3,7,5,5,6
telaio,mobile,1,2,3,6,3,4,1,5,4,4,5,2,5,4,1,4,4,5,5,5,3,7,6,4,6
carro,scettro,4,2,1,2,1,2,3,6,6,3,5,1,2,2,2,1,3,6,2,1,2,2,6,5,2
gommone,diga,1,2,2,5,4,4,2,3,1,2,4,2,2,5,3,2,4,6,2,2,4,3,6,2,5
cinta,istituto,1,2,1,1,2,2,1,1,1,1,2,1,1,3,1,1,2,4,1,1,7,1,1,2,5
roccaforte,imballaggio,4,1,1,1,1,4,1,1,6,3,1,1,1,2,3,1,3,1,4,1,4,3,2,1,2
lanterna,croce,2,5,4,1,2,3,2,4,5,1,4,1,1,1,1,1,2,1,4,1,2,1,2,4,2
scaletta,gabinetto,5,3,2,1,2,2,1,1,5,2,2,1,1,5,1,1,1,1,2,2,5,1,1,1,1
introduzione,trattativa,3,3,2,1,2,5,1,1,7,2,5,3,2,3,2,4,2,4,3,4,6,1,4,3,2
email,revoca,1,2,4,1,5,2,2,2,5,4,2,2,2,2,1,4,2,3,2,2,5,1,3,2,1
rivista,libretto,1,6,7,7,6,6,7,4,6,5,7,3,7,6,2,5,6,6,5,6,7,7,7,6,6
appello,proposta,1,7,5,2,2,7,6,5,7,6,5,5,5,3,3,5,5,6,3,6,7,7,5,5,3
sceneggiatura,nota,1,2,5,2,4,4,4,3,6,3,6,3,1,5,3,1,4,5,4,4,7,5,5,5,6
querela,annuncio,1,4,3,1,3,5,1,1,4,2,5,3,1,3,2,5,3,5,3,4,5,5,4,3,4
albero,radice,1,6,7,7,7,6,7,6,7,6,7,6,4,6,6,6,7,7,6,6,6,7,7,7,7
figlio,nemico,1,2,1,1,1,4,1,4,6,2,5,4,1,2,2,5,1,2,2,1,5,3,3,4,1
capo,cuore,4,4,5,7,3,5,1,4,7,1,6,3,5,1,2,5,3,5,4,5,7,4,4,4,6
topo,malcapitato,4,5,2,1,1,2,1,5,7,1,4,5,1,1,3,1,2,5,6,1,1,1,5,3,2
abitante,uomo,1,6,6,7,4,6,7,5,7,4,6,3,4,3,6,5,2,6,6,2,6,7,6,6,3
raccolto,pascolo,2,5,4,7,5,4,5,5,7,6,6,2,3,5,7,5,6,6,5,6,6,3,4,5,4
libro,carta,3,6,7,7,6,5,6,7,7,7,7,6,3,5,7,5,7,6,6,4,7,6,7,6,7
nome,firma,2,4,5,7,6,6,6,6,5,7,7,6,2,6,6,5,6,7,6,5,7,6,7,7,6
foglio,quaderno,1,6,7,7,7,6,7,7,7,6,7,4,4,6,7,6,7,6,5,5,6,7,7,7,7
pagina,frase,1,5,6,7,5,5,7,7,6,5,6,5,2,4,6,4,5,5,5,5,5,6,5,5,5
appunto,pensiero,1,5,5,6,4,5,3,5,7,5,6,5,1,4,3,5,6,6,5,5,7,7,6,7,6
pagina,disegno,2,4,6,7,6,5,6,6,5,5,6,4,1,5,4,5,5,6,5,2,4,6,6,6,6
gatto,polmone,1,1,4,1,1,1,1,3,1,4,3,1,2,4,1,3,2,1,1,1,1,1,4,1,2
sposo,criminale,1,3,1,1,1,4,1,4,7,2,3,2,2,2,2,1,1,3,2,1,5,2,3,2,2
tessuto,sangue,2,4,5,1,6,5,1,3,5,6,6,2,4,2,4,5,6,5,6,3,5,6,6,5,3
insetto,figlio,3,1,1,1,1,2,1,1,4,1,5,1,1,2,1,1,1,1,3,1,1,1,2,2,1
banana,donna,1,1,2,1,1,1,1,1,1,2,3,1,1,1,2,1,5,3,1,1,1,1,1,2,1
batterio,animale,1,5,5,1,6,5,2,3,5,5,6,4,4,6,5,5,3,5,6,6,7,4,5,5,6
paglia,incenso,1,4,4,6,3,3,5,4,5,5,5,3,1,4,3,3,5,5,4,3,7,2,5,5,3
oppio,cocaina,1,7,7,7,6,6,7,7,5,7,7,5,6,6,7,6,7,7,6,7,7,7,7,7,7
erba,canapa,1,7,7,7,5,5,7,7,7,6,7,6,6,5,5,5,7,5,6,6,5,7,7,7,6
pacchetto,sigaro,1,4,7,7,3,3,7,6,4,6,7,5,2,3,6,4,7,6,6,4,1,4,6,6,7
filtro,sigaretta,1,6,7,7,7,5,6,7,7,7,7,6,4,4,7,7,7,7,6,5,6,7,6,6,7
fumo,gomma,2,2,5,7,2,3,1,7,5,4,4,2,2,2,1,1,4,2,5,1,2,3,1,4,1
tifoso,pregiudicato,1,2,2,1,1,4,4,6,6,2,5,5,2,3,3,5,7,4,4,2,6,2,2,5,2
bastardo,parassita,2,4,7,6,3,4,5,5,7,6,6,5,1,4,3,4,7,7,6,4,7,1,3,6,6
carne,muffa,2,4,5,1,3,2,1,4,5,5,2,2,1,3,3,3,2,5,2,1,2,1,5,5,3
appartenente,equipaggio,1,5,5,7,4,5,5,5,6,3,5,5,1,5,5,1,4,5,5,1,2,4,2,5,3
segretario,israeliano,1,1,2,1,1,4,1,1,6,1,4,1,2,2,2,3,7,3,1,1,6,1,3,4,1
prigioniero,religioso,3,3,2,1,1,4,1,2,7,2,6,2,1,2,4,1,1,2,2,4,3,1,4,4,4
cibo,ripieno,1,6,5,7,5,5,5,4,7,6,6,5,4,4,6,5,5,5,5,4,7,5,6,6,5
boccone,banchetto,1,5,6,7,5,6,6,5,4,5,6,4,4,5,4,4,6,6,5,3,7,7,6,6,6
carne,filetto,1,7,7,7,7,6,6,7,7,7,7,7,7,6,4,7,7,7,7,6,7,7,7,7,7
pesce,tonno,1,7,7,7,7,6,7,7,5,6,7,7,5,6,7,6,7,7,7,7,7,7,7,7,6
zampa,pollo,2,4,7,7,6,5,4,5,7,5,7,3,3,5,5,6,6,5,5,4,6,6,5,6,6
grigliata,prelibatezza,1,4,7,6,4,4,3,7,7,5,7,6,5,4,2,4,5,5,4,4,6,5,4,5,5
bibita,aperitivo,1,5,6,7,6,7,6,7,7,5,7,5,3,5,7,5,6,6,6,6,7,7,7,7,7
veleno,tisana,2,4,3,7,3,5,5,5,4,5,5,4,4,4,2,2,2,5,5,5,5,4,5,5,5
the,succo,1,6,6,7,7,6,4,6,7,5,7,6,7,6,7,6,7,7,7,7,7,7,7,7,7
sostanza,medicina,1,6,7,7,6,5,7,5,6,5,5,4,5,5,5,4,5,4,6,4,7,6,6,5,6
latte,bibita,1,4,7,7,6,6,5,7,6,6,7,6,6,6,6,4,7,7,6,6,7,7,7,7,6
carburante,fluido,1,4,6,7,6,4,5,7,6,5,7,4,6,6,4,5,5,6,6,3,6,6,7,6,4
freccia,gioco,2,3,5,7,6,4,3,5,7,2,6,3,1,4,3,3,3,6,6,4,4,3,4,3,4
emisfero,basket,1,1,1,1,1,1,1,1,5,2,4,1,1,1,3,1,4,3,4,1,2,1,3,1,2
preferenza,copertura,1,3,1,1,1,4,1,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1
risorsa,veduta,1,1,1,1,1,2,1,1,7,2,1,2,1,1,1,4,1,4,2,1,1,1,2,1,1
asino,parabola,1,3,1,1,1,2,5,2,1,2,4,5,1,1,1,5,2,1,4,1,1,1,2,2,3
programma,mantello,4,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
carota,antipasto,1,4,6,6,5,5,5,5,7,4,5,3,4,5,3,4,5,5,6,5,4,6,6,5,5
banana,patata,6,6,5,7,7,6,6,5,1,6,5,4,5,6,2,5,5,6,6,4,7,6,6,6,6
formaggio,pasto,1,4,7,7,4,5,5,7,7,5,6,5,2,4,3,5,4,6,5,4,6,5,6,6,6
zucchina,verdura,1,6,7,7,7,6,7,7,4,6,7,7,5,6,7,6,7,7,7,6,6,7,7,7,7
panettone,topo,3,1,1,1,1,1,1,3,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1
trota,corvo,2,5,6,7,6,5,4,4,6,5,6,4,6,5,3,4,5,6,5,3,7,4,4,5,6
fetta,milione,1,1,6,1,1,1,1,1,5,2,1,1,1,1,2,2,2,4,1,1,6,2,4,4,2
progetto,migliaio,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1
album,bottiglia,1,2,1,1,1,1,1,1,4,1,1,1,1,2,1,1,5,1,1,1,1,1,1,3,3
archivio,ala,1,1,4,1,1,2,1,2,5,1,5,1,1,3,4,4,7,6,1,1,1,1,1,2,1
bicchiere,elemosina,2,3,6,2,1,3,2,2,5,6,4,5,3,4,5,5,4,5,5,2,1,4,5,3,6
manufatto,informazione,2,2,3,1,1,4,1,6,7,1,1,1,1,4,2,1,7,2,4,5,5,2,2,2,6
giacca,grembiule,2,4,6,7,5,6,5,6,7,5,6,5,6,6,6,5,5,6,6,6,7,7,5,5,5
legatura,lepre,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1
legame,ormeggio,1,6,2,7,6,6,7,5,6,5,6,5,5,6,5,5,5,5,5,2,4,7,6,6,7
bacca,ala,4,1,1,1,1,2,1,4,4,1,4,1,1,2,1,1,3,1,1,1,2,1,2,2,1
torta,pero,1,3,3,1,1,1,1,3,7,4,5,1,1,5,4,4,3,2,4,3,6,1,4,2,4
carne,pomodoro,1,5,6,1,4,5,4,4,7,3,6,3,5,4,5,5,6,6,2,3,7,5,6,6,5
capoverso,giallo,1,1,5,1,1,1,1,2,5,1,2,1,1,3,1,1,1,4,1,1,1,1,2,3,1
narrazione,monologo,1,5,6,7,7,5,6,7,4,6,7,5,3,7,4,6,5,6,6,5,7,7,6,6,6
saggio,opera,1,7,6,7,6,5,6,7,6,7,6,7,5,6,4,5,5,7,7,7,3,7,6,6,7
sottotitolo,questionario,1,3,4,1,2,3,1,1,7,2,4,4,1,3,2,3,4,5,1,3,5,2,2,2,4
email,intestazione,1,2,6,7,4,5,1,7,5,6,6,4,3,3,2,5,5,6,6,3,5,5,6,4,5
domanda,intervento,2,7,4,5,6,6,1,6,4,7,7,5,7,6,6,5,7,6,1,5,7,7,7,6,6
strofa,ninna,1,4,6,7,5,6,3,5,4,7,6,6,3,2,3,5,6,4,5,3,6,5,6,6,6
canzonetta,musica,1,5,7,7,6,6,7,7,6,6,7,5,6,6,5,5,6,6,6,4,7,7,7,6,7
canzone,motivo,1,7,7,7,5,6,7,6,7,7,7,7,7,6,6,4,5,7,7,5,7,7,6,6,6
tema,canzoncina,1,6,6,7,5,5,5,5,4,6,7,5,4,5,2,5,5,6,7,2,7,7,6,6,6
incantesimo,poesia,4,4,6,6,3,5,2,5,7,3,5,5,2,5,4,5,3,5,5,3,5,5,7,5,7
hit,ritmo,1,6,6,6,6,5,6,6,6,6,7,4,5,4,6,4,6,6,4,3,6,6,6,7,6
nettare,bibita,1,5,7,1,5,6,5,7,7,4,6,4,3,5,5,5,6,5,6,6,7,5,5,6,7
bibita,composto,1,4,6,6,4,6,1,4,7,4,4,1,6,4,2,2,2,5,5,4,4,3,5,3,4
acqua,the,1,6,7,7,6,6,7,6,7,7,7,6,7,6,7,6,6,7,6,7,7,6,7,7,6
amaro,grappa,1,7,7,7,7,7,7,7,7,7,7,6,7,6,6,6,6,7,7,7,7,7,7,7,7
sorso,succo,7,4,6,7,5,5,4,6,6,5,6,5,1,5,6,5,5,6,4,4,2,6,6,6,5
bevanda,brodo,2,3,6,7,6,5,6,7,4,5,6,6,3,4,4,5,5,5,5,6,4,7,6,7,5
pozione,bevanda,1,6,5,7,5,7,7,6,7,1,6,6,4,4,3,5,5,6,6,5,6,5,7,5,1
cena,minestra,1,6,7,7,7,5,5,6,7,6,6,6,3,5,5,5,6,6,6,5,6,7,6,6,6
boccone,pasto,1,6,7,7,6,6,6,7,4,5,6,6,3,2,6,6,6,7,5,5,7,7,6,6,6
pozione,veleno,1,7,7,7,7,6,7,6,7,1,7,6,5,1,5,6,7,7,6,7,7,6,7,7,7
pizza,panettone,2,6,6,7,6,6,5,5,7,5,6,5,6,6,3,5,5,5,5,4,7,6,5,6,6
birra,cappuccino,1,4,6,7,6,6,2,5,1,6,6,6,5,4,4,5,6,5,6,5,1,6,6,5,6
teologia,chirurgia,6,4,3,7,1,1,1,3,1,5,5,4,4,6,1,5,3,4,1,6,7,3,2,5,3
regia,psicologia,6,5,1,4,1,4,3,5,4,1,4,1,1,2,1,1,5,4,3,2,4,1,2,2,4
regola,strategia,2,4,3,6,4,5,5,6,5,5,5,3,4,5,4,4,4,5,5,6,5,7,6,7,6
derivata,meccanismo,1,2,4,5,2,4,1,1,4,4,3,1,2,2,3,1,2,5,4,1,7,1,3,5,4
stile,sistema,5,3,2,5,6,4,3,1,6,1,4,3,1,5,1,2,1,5,3,3,6,1,4,5,5
tradizione,culto,1,6,7,6,6,5,7,5,7,7,6,6,4,6,6,6,6,7,7,5,7,7,7,6,5
ginocchio,polso,2,6,7,7,7,6,6,5,7,5,7,6,5,6,3,6,5,5,6,6,7,7,7,7,6
vetrina,recinto,4,2,4,3,2,4,1,5,5,3,5,1,2,5,6,1,4,3,2,2,6,1,3,5,5
marmo,cristallo,1,6,6,6,6,6,1,4,7,4,7,5,7,6,5,5,5,6,6,4,7,7,7,6,6
maglia,filo,1,7,7,7,6,6,7,7,7,6,7,5,5,4,6,5,5,5,5,7,6,6,7,6,6
rivestimento,telecomando,2,2,3,1,1,2,1,2,1,2,6,1,1,2,1,1,3,1,1,1,1,2,2,1,5
sottomarino,barattolo,3,2,2,5,1,2,1,4,7,2,3,2,1,2,1,1,2,1,4,1,3,2,5,2,1
