word1,word2,part1,part2,part3,part4,part5,part6,part7,part8,part9,part10,part11,part12,part13,part14,part15,part16,part17,part18,part19,part20,part21,part22,part23,part24,part25
pizza,enhancement,1,3,1,1,7,1,1,1,1,1,6,5,1,1,2,3,1,1,3,2,1,2,1,1,5
coding,blossom,1,5,1,1,7,1,1,1,1,1,4,2,2,1,1,2,1,4,1,2,1,2,1,3,4
product,curling,1,5,1,1,7,1,2,1,1,1,4,3,1,1,4,1,1,2,1,3,1,2,3,2,5
skating,childhood,5,6,1,2,6,1,4,6,5,1,6,4,5,1,3,5,2,6,3,2,3,5,3,3,5
channel,chore,2,5,1,1,5,1,4,2,1,1,3,2,1,1,1,1,1,3,1,1,1,2,1,2,5
screen,curve,3,5,1,1,6,1,5,3,1,2,6,3,2,2,1,4,2,1,1,2,2,3,4,1,4
wound,printer,1,3,1,1,7,1,1,1,1,1,4,2,1,1,1,1,1,4,1,2,1,1,2,2,4
square,area,6,7,6,3,6,1,7,6,7,2,3,6,7,6,6,6,4,4,5,5,4,5,5,6,5
lock,cloth,5,2,1,1,6,1,1,1,4,1,4,2,2,1,2,1,1,2,1,2,1,2,5,3,5
boot,carpet,4,6,1,1,7,1,1,1,1,1,4,2,4,1,2,2,2,1,1,2,1,3,1,3,4
book,bike,4,2,1,1,7,1,1,1,1,1,6,2,5,1,2,1,1,1,1,2,4,2,4,1,3
lab,log,5,3,1,1,7,1,7,1,4,1,2,2,2,2,1,1,2,6,5,1,1,3,2,2,2
wine,vinegar,6,1,4,2,7,1,6,1,6,4,7,6,6,3,6,6,4,2,6,2,6,5,4,3,5
cocoa,mead,3,5,1,1,6,1,1,1,1,4,4,1,7,1,6,3,1,5,3,2,3,2,2,3,5
whiskey,vodka,7,6,5,5,4,1,7,7,7,7,7,6,7,3,7,7,7,7,6,6,7,5,6,5,5
concoction,beverage,7,5,5,1,6,1,4,6,4,7,2,3,7,4,7,5,5,2,1,7,7,4,1,5,2
latte,espresso,7,6,6,4,6,3,7,7,7,3,6,7,7,5,7,7,7,7,6,6,7,6,5,5,4
beer,gin,7,6,2,2,7,2,7,6,7,4,6,5,7,2,6,6,6,7,6,5,7,5,6,7,3
tobacco,cigar,7,7,3,5,7,3,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,5,6,6,4
pot,joint,7,7,7,1,5,1,7,2,7,6,4,7,2,1,7,6,6,7,1,2,2,6,6,2,5
hemp,cocaine,6,5,6,2,7,1,3,4,5,4,5,4,2,4,7,5,5,5,6,2,3,5,2,4,4
cannabis,mushroom,7,6,1,2,7,1,4,1,6,4,6,6,4,3,6,6,5,5,6,3,1,5,7,6,4
cocaine,crack,7,7,7,6,7,1,7,7,7,6,7,7,7,6,7,7,7,7,7,6,1,6,7,5,4
packet,dose,5,5,3,1,4,1,1,6,5,4,4,5,6,3,6,4,5,7,1,6,2,5,2,5,4
memorial,theory,2,7,1,1,7,1,1,2,5,1,5,4,3,1,1,3,1,2,2,2,5,2,2,1,3
comment,document,6,4,2,3,7,2,4,1,5,2,3,4,6,1,6,3,2,5,7,5,3,3,2,3,5
receipt,bill,7,7,7,7,5,7,7,7,7,7,4,7,7,6,7,7,7,7,6,7,7,6,6,6,5
apprenticeship,application,5,3,2,3,7,1,4,4,5,2,4,3,6,1,5,5,5,7,5,5,3,5,4,6,5
enquiry,survey,6,7,4,2,6,1,4,5,5,4,4,2,6,2,6,6,5,7,3,6,2,6,2,5,5
alliance,convention,3,6,1,4,7,1,4,3,3,2,7,4,6,1,5,3,2,7,2,5,3,4,2,5,4
chunk,piece,7,7,7,2,5,2,7,7,7,6,7,5,7,4,7,5,7,7,7,6,6,6,6,6,3
image,element,3,5,1,2,7,1,5,3,4,1,4,4,4,2,6,6,5,3,5,7,5,5,1,3,3
garlic,turnip,7,3,2,2,6,1,6,5,5,5,2,4,5,1,7,7,5,7,1,3,4,5,3,3,5
clay,butter,5,2,1,1,6,1,1,2,2,1,4,3,5,1,1,5,2,2,6,1,4,5,3,3,5
root,bulb,6,7,3,1,6,1,7,7,1,7,4,4,2,1,7,7,5,2,4,2,6,2,3,6,3
skin,joint,2,3,3,1,7,1,4,3,5,1,6,3,6,1,6,6,5,1,5,2,6,2,5,3,5
pig,rival,1,3,1,1,7,1,2,1,1,1,4,5,4,1,4,2,1,1,1,1,2,2,1,2,5
pig,people,5,5,1,1,7,1,2,4,1,1,5,3,5,1,4,6,2,1,1,1,1,2,2,3,4
bride,man,6,5,1,7,7,1,1,1,1,1,2,5,5,1,6,5,5,1,1,1,1,2,5,5,5
rival,people,6,7,1,2,6,1,4,3,5,1,6,5,6,1,6,7,4,2,3,5,4,5,5,4,3
people,man,7,7,6,4,7,1,7,7,7,5,6,5,7,2,7,5,6,7,6,7,7,5,6,6,5
man,wife,5,5,2,5,7,3,7,7,6,4,4,6,7,1,7,6,4,7,5,2,3,4,7,5,5
manufactory,repeater,5,7,2,1,6,1,3,2,3,3,4,5,5,1,1,2,2,6,3,2,2,2,1,2,3
complexity,stall,1,3,1,2,7,1,4,1,4,1,4,4,1,1,2,2,1,3,1,2,1,2,3,3,5
bunkhouse,tarmac,4,5,1,1,5,1,4,2,4,1,3,3,4,1,2,5,2,5,4,2,3,2,3,3,5
cloud,arena,2,1,1,1,7,1,1,1,1,1,6,3,2,1,1,1,1,2,1,2,4,3,4,2,5
radar,phone,6,2,5,1,6,1,4,2,5,4,6,4,6,4,5,6,5,5,3,2,3,2,4,5,3
foundation,intention,2,7,1,4,6,1,1,2,1,1,7,4,6,1,1,1,4,7,5,4,2,5,2,3,3
nut,banana,6,2,1,1,5,1,5,4,6,4,2,3,6,1,5,6,4,4,3,2,4,5,4,3,4
ginger,coriander,7,5,4,2,6,1,5,5,7,5,6,1,7,1,7,7,5,7,5,2,6,4,3,6,4
leek,apricot,7,5,1,1,6,1,4,2,5,3,4,3,4,1,6,6,3,7,1,5,6,2,4,5,3
spice,bar,2,2,1,2,4,1,3,3,3,1,6,4,2,1,5,5,1,2,1,2,2,2,4,2,2
tomato,peel,6,7,2,2,7,1,4,7,1,2,6,5,5,1,5,7,5,7,5,3,1,5,1,3,5
sprig,dill,6,5,3,2,6,1,5,1,4,4,5,2,4,4,6,7,6,4,1,2,2,2,1,4,3
valve,cord,6,3,1,1,5,1,1,3,5,1,3,3,5,1,5,5,3,5,1,2,5,2,1,5,5
cork,aircraft,2,2,1,1,7,1,1,1,1,1,4,4,1,1,1,2,1,1,1,2,1,1,2,3,5
timber,drill,5,7,1,1,4,1,5,4,1,3,4,2,5,1,6,3,4,7,4,2,4,5,1,6,5
phone,flag,1,2,1,1,5,1,1,1,1,1,5,2,1,1,3,1,2,1,1,2,2,1,3,3,5
fibre,doll,2,1,1,1,6,1,2,3,1,2,4,4,3,1,4,6,3,1,1,2,1,1,2,3,4
vegetation,handbag,1,3,1,1,7,1,1,1,1,1,5,2,2,1,1,2,1,1,1,2,2,1,2,1,5
banner,panel,6,7,1,1,7,3,7,4,7,1,6,4,5,5,5,5,3,7,5,3,3,5,4,5,5
garment,tapestry,6,5,2,2,7,1,5,3,1,5,3,4,4,2,7,7,5,6,1,7,3,4,1,5,4
lace,shawl,4,3,3,1,7,1,4,2,5,2,4,3,5,1,7,6,5,3,3,5,5,5,3,6,5
blouse,shirt,7,7,7,3,7,6,7,4,7,6,6,6,7,6,7,7,7,7,6,7,7,6,5,7,4
flag,crest,6,2,6,1,5,1,7,4,1,1,6,3,7,1,7,7,5,6,1,2,2,6,2,3,4
embellishment,strip,5,6,1,4,7,1,4,1,4,4,2,2,3,2,3,1,1,1,1,5,3,3,2,3,5
side,dish,6,2,4,5,6,1,7,7,6,2,7,5,2,1,6,6,3,1,7,6,1,2,6,3,4
mixture,vinegar,3,6,1,2,6,1,1,1,3,1,6,3,5,1,5,5,2,3,4,5,6,3,3,5,4
cod,kipper,7,5,5,5,6,1,6,7,4,7,4,2,4,1,7,6,6,4,1,2,3,4,4,3,4
fries,fennel,4,2,1,2,7,1,2,1,5,1,4,3,2,1,4,3,2,1,1,3,1,5,2,3,4
drumstick,blackberry,1,3,1,1,7,1,1,1,3,1,4,1,2,1,6,1,1,1,1,2,1,2,1,2,4
plant,garlic,7,3,4,3,7,1,6,7,6,5,6,3,6,3,6,7,6,7,5,5,3,5,4,3,3
allergen,sauce,2,5,1,1,7,1,4,2,5,1,6,4,1,1,4,2,4,2,3,5,1,3,3,2,3
gel,drop,6,6,4,1,5,1,3,4,6,1,7,4,5,2,3,3,3,7,6,2,3,2,1,3,3
infusion,syrup,5,5,6,4,5,1,6,3,4,1,3,3,4,4,6,6,5,5,2,5,5,4,5,4,5
wine,booze,7,7,5,7,7,5,7,7,7,7,7,7,7,1,7,7,7,7,5,6,6,5,6,3,5
poison,supplies,2,6,1,1,5,1,3,2,5,1,5,3,2,1,2,4,2,2,1,2,2,2,2,2,4
soda,coke,7,7,7,5,6,1,7,7,6,7,7,5,7,5,7,7,7,7,7,7,7,6,7,6,5
idea,picture,6,6,3,5,6,2,1,6,5,1,7,5,5,3,4,6,3,5,3,6,5,4,4,6,3
animal,passage,2,6,1,1,6,1,1,1,1,1,6,3,2,1,1,1,2,2,1,3,1,2,4,2,5
character,design,5,5,2,4,7,1,5,2,5,1,7,3,5,1,4,6,6,5,2,5,2,5,5,5,5
picture,drawing,7,7,5,7,7,4,7,7,7,7,7,5,7,6,7,7,7,7,6,7,6,5,5,5,6
triangle,design,5,6,2,2,6,1,4,2,6,5,5,2,5,1,5,6,3,5,3,2,1,4,1,5,5
image,design,6,6,2,5,5,2,6,4,7,6,7,5,6,5,7,6,7,7,6,7,4,5,3,7,5
hob,sieve,6,3,1,1,6,1,7,4,4,5,2,4,6,1,1,4,2,4,4,2,1,2,1,2,4
fridge,microwave,6,7,4,2,7,2,7,5,5,2,6,5,6,2,7,5,6,7,4,5,5,5,5,3,5
packaging,belongings,5,6,2,2,7,1,2,6,5,2,4,5,2,1,3,3,5,7,7,5,2,4,4,3,4
nursery,drain,1,2,1,1,7,1,1,1,1,1,4,3,1,1,1,2,1,2,1,2,1,1,2,3,5
cotton,clothing,6,7,4,3,7,1,7,7,7,4,7,6,6,3,7,7,5,5,5,5,6,6,7,6,4
building,surface,6,5,2,2,7,1,5,5,6,4,6,3,4,1,4,5,3,5,3,6,1,5,2,3,5
stream,body,3,5,1,1,5,1,1,1,1,1,5,4,2,1,5,3,4,7,1,5,2,3,4,3,4
husband,pigeon,1,2,1,1,6,1,1,1,1,1,2,5,2,1,3,1,1,1,1,2,2,2,2,2,5
supplies,meat,5,2,1,1,7,1,1,6,5,2,6,5,5,1,3,5,2,7,2,4,5,3,1,3,5
water,brandy,4,1,1,2,4,1,2,3,6,6,3,5,7,1,7,6,4,2,3,5,5,3,4,3,3
mother,hamster,5,2,1,1,6,1,1,4,1,3,4,1,5,1,4,2,1,1,1,1,1,2,2,2,4
body,husband,6,5,1,3,5,1,4,4,5,1,7,5,6,1,5,5,3,2,1,3,2,2,5,3,5
pine,houseplant,6,3,5,1,7,1,2,4,7,1,4,3,6,1,7,5,5,7,2,5,5,3,4,3,5
box,content,5,7,3,2,7,1,6,4,5,1,7,4,6,1,6,4,3,5,1,5,2,3,5,5,5
nostril,shoelace,1,2,1,1,7,1,1,1,1,1,5,2,4,1,1,1,1,1,1,2,1,2,1,1,4
pine,plant,7,5,4,1,7,1,7,7,7,4,6,3,7,6,7,7,6,5,6,6,6,5,5,5,5
hull,waffle,1,2,1,1,7,1,1,1,4,1,6,2,2,1,1,1,1,2,1,3,3,2,4,5,4
card,bullet,1,2,1,1,7,1,1,1,1,1,3,2,2,1,2,2,1,1,1,2,1,2,2,2,5
cast,purse,1,4,1,1,7,1,1,1,1,1,4,2,1,1,1,1,1,1,1,3,1,2,3,2,5
mask,pattern,5,5,1,2,7,1,2,1,5,1,6,3,3,1,6,5,4,2,1,4,1,2,5,3,5
flower,seed,6,6,2,4,6,1,7,7,7,4,7,4,5,4,7,7,6,6,3,5,6,6,6,5,5
work,tusk,1,2,1,1,7,1,1,1,4,1,4,3,1,1,1,2,1,4,3,2,4,5,2,1,3
label,tag,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,6,6,6,7,4
fabric,costume,7,7,4,3,6,1,7,4,6,4,4,6,6,2,7,6,6,7,6,6,6,5,7,6,5
prophet,family,4,5,1,1,7,1,3,2,4,1,6,4,2,1,3,1,3,5,1,3,1,2,1,2,4
member,man,5,6,1,2,7,1,4,2,6,4,6,5,6,1,6,4,4,4,3,5,5,5,3,6,5
son,prisoner,2,3,1,2,6,1,2,1,4,3,5,2,5,1,3,3,1,1,4,1,1,2,3,2,3
woman,member,3,6,1,2,6,1,4,4,6,4,6,2,6,2,4,5,2,2,1,5,2,6,5,5,3
enemy,woman,3,2,1,1,6,1,3,7,5,1,5,1,5,1,5,2,1,1,1,1,1,3,3,3,4
enemy,prisoner,6,7,1,3,7,1,2,2,6,3,6,5,6,1,6,6,3,7,5,5,4,3,5,3,3
sugar,silver,2,5,1,1,6,1,1,1,1,1,6,2,4,1,2,2,1,2,3,2,2,1,3,3,5
wave,bucket,3,3,1,1,6,1,1,1,1,1,6,3,1,1,1,5,2,1,1,3,1,1,4,2,4
raft,patent,2,2,1,1,6,1,1,1,4,1,5,2,2,1,1,2,1,2,1,1,2,4,2,2,4
nappy,bell,1,2,1,1,7,1,1,1,1,1,4,4,1,1,1,2,1,1,1,2,1,2,3,3,4
supply,videotape,3,5,1,1,7,1,1,1,1,1,4,4,3,1,1,3,1,2,2,1,1,2,4,2,5
chattel,kid,2,2,1,2,6,1,1,2,4,1,4,3,4,2,4,4,1,4,4,2,3,2,2,3,5
animal,slug,7,3,1,1,6,1,7,7,4,5,6,3,7,1,6,7,5,7,5,5,6,6,5,5,5
fish,cock,1,3,4,1,6,1,1,1,4,4,4,1,5,1,7,4,1,1,1,3,5,5,2,3,4
goat,octopus,5,2,1,1,7,1,6,6,3,4,2,5,6,1,6,5,2,1,1,2,5,3,3,5,5
people,hamburger,4,6,1,1,7,1,1,1,3,1,6,1,2,1,3,4,1,1,1,1,1,3,2,2,4
sweet,aphid,1,2,1,1,7,1,2,2,4,1,3,4,2,1,1,4,1,1,1,2,1,2,2,2,5
pasture,cod,4,3,1,1,7,1,1,1,2,1,2,4,5,1,1,2,1,2,2,1,3,2,2,5,5
grub,food,7,1,6,1,7,1,6,7,4,7,4,3,7,1,7,7,7,6,1,2,1,6,2,3,3
plant,grass,7,7,3,4,7,1,7,7,7,5,6,5,7,2,7,7,7,7,6,7,7,5,5,6,5
kinsman,supplement,1,5,1,1,7,1,4,1,1,1,4,4,1,1,1,2,1,1,1,2,2,1,4,2,5
vegetable,protein,5,6,1,1,7,1,4,3,2,3,7,4,5,4,6,5,5,7,4,3,7,5,5,3,5
flesh,mollusc,4,5,5,1,6,1,2,1,6,1,2,3,4,2,4,2,5,5,2,2,3,6,1,3,3
serving,honey,6,2,1,1,7,1,3,4,6,1,7,2,4,3,4,3,2,2,2,3,1,3,3,2,5
passage,tune,4,3,1,1,4,1,5,1,1,3,4,3,3,1,6,6,3,3,5,2,4,2,2,5,5
music,tune,7,7,6,5,7,3,7,7,7,7,7,5,7,6,7,7,7,7,7,7,6,5,5,6,3
chorus,track,6,7,6,4,6,1,7,5,7,1,6,4,5,2,6,6,3,7,5,5,5,5,6,3,3
line,word,6,4,3,4,7,1,4,7,7,4,3,2,7,2,6,6,4,7,5,7,1,4,4,5,5
track,theme,6,5,4,1,6,1,5,1,7,1,6,4,6,1,2,6,5,7,3,3,3,5,3,3,4
selection,riff,2,2,1,1,7,1,3,1,1,1,5,4,2,4,6,5,1,4,2,2,1,3,3,3,3
can,drop,1,5,1,2,7,1,1,1,1,2,4,3,2,1,2,2,3,2,1,2,2,2,2,2,5
brew,potion,7,7,2,1,6,1,4,7,6,4,5,5,7,1,7,6,6,7,5,4,6,4,1,3,5
cider,brew,7,7,3,6,5,3,7,7,7,5,7,5,7,3,7,7,6,7,5,2,4,6,4,5,5
ale,brew,7,6,5,4,7,1,7,7,7,4,2,4,7,1,7,7,7,7,3,5,3,6,4,5,4
champagne,alcohol,7,6,6,4,7,3,7,7,7,6,7,6,7,6,7,7,5,6,6,5,6,4,5,5,5
pint,drink,7,7,4,3,5,1,7,7,7,5,4,5,7,1,7,6,6,7,6,6,2,6,4,5,4
review,assertion,4,5,1,1,7,3,2,1,1,2,6,5,5,1,4,2,2,7,5,2,4,4,4,3,5
topography,license,1,2,1,1,6,1,2,1,4,1,4,2,1,1,1,2,5,1,1,2,2,2,4,2,4
missive,opera,5,5,1,1,7,1,2,1,1,1,2,4,1,1,6,1,1,1,1,1,1,3,2,3,4
paragraph,essay,5,7,7,4,6,2,7,6,7,4,7,5,7,3,7,7,4,7,6,7,6,5,5,6,3
justification,dissertation,5,7,6,3,7,1,4,2,6,1,7,3,6,1,5,5,4,6,6,5,6,2,4,5,3
synopsis,analysis,7,6,6,1,7,1,7,7,4,6,6,2,3,3,7,2,5,5,5,2,6,4,3,6,5
