ids,kind,verb,dObj,perf,iter,sentence
stim93,EXP,steal,no,yes,yes,Sam had stolen again.
stim94,EXP,steal,no,yes,no,Diana had stolen.
stim95,EXP,steal,no,no,yes,John was stealing again.
stim96,EXP,steal,no,no,no,Betty was stealing.
stim101,EXP,wash,no,yes,yes,Mary had washed again.
stim102,EXP,wash,no,yes,no,Tom had washed.
stim103,EXP,wash,no,no,yes,John was washing again.
stim104,EXP,wash,no,no,no,Paul was washing.
stim109,EXP,watch,no,yes,yes,Diana had watched again.
stim110,EXP,watch,no,yes,no,Sam had watched.
stim111,EXP,watch,no,no,yes,Sarah was watching again.
stim112,EXP,watch,no,no,no,Betty was watching.
stim117,EXP,write,no,yes,yes,Tom had written again.
stim118,EXP,write,no,yes,no,Paul had written.
stim119,EXP,write,no,no,yes,Diana was writing again.
stim120,EXP,write,no,no,no,John was writing.
stim125,EXP,behead,no,yes,yes,Sarah had beheaded again.
stim126,EXP,behead,no,yes,no,Betty had beheaded.
stim127,EXP,behead,no,no,yes,Tom was beheading again.
stim128,EXP,behead,no,no,no,Clara was beheading.
stim133,EXP,devour,no,yes,yes,Betty had devoured again.
stim134,EXP,devour,no,yes,no,Paul had devoured.
stim135,EXP,devour,no,no,yes,Sam was devouring again.
stim136,EXP,devour,no,no,no,Diana was devouring.
stim141,EXP,doodle,no,yes,yes,Sam had doodled again.
stim142,EXP,doodle,no,yes,no,Paul had doodled.
stim143,EXP,doodle,no,no,yes,Tom was doodling again.
stim144,EXP,doodle,no,no,no,Sarah was doodling.
stim149,EXP,kill,no,yes,yes,Tom had killed again.
stim150,EXP,kill,no,yes,no,Sarah had killed.
stim151,EXP,kill,no,no,yes,Sam was killing again.
stim152,EXP,kill,no,no,no,Diana was killing.
stim157,EXP,knife,no,yes,yes,Sarah had knifed again.
stim158,EXP,knife,no,yes,no,Diana had knifed.
stim159,EXP,knife,no,no,yes,John was knifing again.
stim160,EXP,knife,no,no,no,Tom was knifing.
stim165,EXP,poison,no,yes,yes,Sean had poisoned again.
stim166,EXP,poison,no,yes,no,Paul had poisoned.
stim167,EXP,poison,no,no,yes,Paul was poisoning again.
stim168,EXP,poison,no,no,no,Mary was poisoning.
stim173,EXP,sign,no,yes,yes,Mary had signed again.
stim174,EXP,sign,no,yes,no,John had signed.
stim175,EXP,sign,no,no,yes,Sarah was signing again.
stim176,EXP,sign,no,no,no,Betty was signing.
stim181,EXP,sip,no,yes,yes,Sean had sipped again.
stim182,EXP,sip,no,yes,no,Betty had sipped.
stim183,EXP,sip,no,no,yes,John was sipping again.
stim184,EXP,sip,no,no,no,Paul was sipping.
stim189,EXP,smoke,no,yes,yes,Tom had smoked again.
stim190,EXP,smoke,no,yes,no,Diana had smoked.
stim191,EXP,smoke,no,no,yes,Diana was smoking again.
stim192,EXP,smoke,no,no,no,Sam was smoking.
stim197,EXP,swig,no,yes,yes,Sean had swigged again.
stim198,EXP,swig,no,yes,no,Paul had swigged.
stim199,EXP,swig,no,no,yes,Sam was swigging again.
stim200,EXP,swig,no,no,no,Tom was swigging.
stim205,EXP,polish,no,yes,yes,Betty had polished again.
stim206,EXP,polish,no,yes,no,Paul had polished.
stim207,EXP,polish,no,no,yes,Mary was polishing again.
stim208,EXP,polish,no,no,no,Mary was polishing.
stim213,EXP,teach,no,yes,yes,Sean had taught again.
stim214,EXP,teach,no,yes,no,Clara had taught.
stim215,EXP,teach,no,no,yes,Sarah was teaching again.
stim216,EXP,teach,no,no,no,Sarah was teaching.
stim221,EXP,sing,no,yes,yes,Paul had sung again.
stim222,EXP,sing,no,yes,no,Sam had sung.
stim223,EXP,sing,no,no,yes,Paul was singing again.
stim224,EXP,sing,no,no,no,Sam was singing.
stim229,EXP,hum,no,yes,yes,Diana had hummed again.
stim230,EXP,hum,no,yes,no,Mary had hummed.
stim231,EXP,hum,no,no,yes,Tom was humming again.
stim232,EXP,hum,no,no,no,Sam was humming.
stim237,EXP,slice,no,yes,yes,John had sliced again.
stim238,EXP,slice,no,yes,no,Tom had sliced.
stim239,EXP,slice,no,no,yes,Diana was slicing again.
stim240,EXP,slice,no,no,no,John was slicing.
stim246,FILLER,sleep,no,yes,no,John had slept.
stim248,FILLER,sleep,no,no,no,Diana was sleeping.
stim254,FILLER,stagger,no,yes,no,Mary had staggered.
stim256,FILLER,stagger,no,no,no,Clara was staggering.
stim262,FILLER,knock,no,yes,no,Mary had knocked.
stim264,FILLER,knock,no,no,no,Betty was knocking.
stim270,FILLER,limp,no,yes,no,John had limped.
stim272,FILLER,limp,no,no,no,Clara was limping.
stim278,FILLER,fast,no,yes,no,Sean had fasted.
stim280,FILLER,fast,no,no,no,Betty was fasting.
stim286,FILLER,laugh,no,yes,no,Sam had laughed.
stim288,FILLER,laugh,no,no,no,Sam was laughing.
stim294,FILLER,clap,no,yes,no,Mary had clapped.
stim296,FILLER,clap,no,no,no,Diana was clapping.
stim302,FILLER,smile,no,yes,no,Sam had smiled.
stim304,FILLER,smile,no,no,no,Clara was smiling.
stim310,FILLER,scream,no,yes,no,Paul had screamed.
stim312,FILLER,scream,no,no,no,Diana was screaming.
stim318,FILLER,rest,no,yes,no,John had rested.
stim320,FILLER,rest,no,no,no,Sean was resting.
stim245,FILLER,sleep,no,yes,yes,Sam had slept again.
stim247,FILLER,sleep,no,no,yes,Clara was sleeping again.
stim253,FILLER,stagger,no,yes,yes,Betty had staggered again.
stim255,FILLER,stagger,no,no,yes,Clara was staggering again.
stim261,FILLER,knock,no,yes,yes,Sean had knocked again.
stim263,FILLER,knock,no,no,yes,Sarah was knocking again.
stim269,FILLER,limp,no,yes,yes,Mary had limped again.
stim271,FILLER,limp,no,no,yes,Betty was limping again.
stim277,FILLER,fast,no,yes,yes,John had fasted again.
stim279,FILLER,fast,no,no,yes,Sarah was fasting again.
stim285,FILLER,laugh,no,yes,yes,John had laughed again.
stim287,FILLER,laugh,no,no,yes,Tom was laughing again.
stim293,FILLER,clap,no,yes,yes,Sarah had clapped again.
stim295,FILLER,clap,no,no,yes,Paul was clapping again.
stim301,FILLER,smile,no,yes,yes,Paul had smiled again.
stim303,FILLER,smile,no,no,yes,Sean was smiling again.
stim309,FILLER,scream,no,yes,yes,Sarah had screamed again.
stim311,FILLER,scream,no,no,yes,Tom was screaming again.
stim317,FILLER,rest,no,yes,yes,Sam had rested again.
stim319,FILLER,rest,no,no,yes,Betty was resting again.
stim241,FILLER,sleep,yes,yes,yes,Mary had slept a pillow again.
stim242,FILLER,sleep,yes,yes,no,Sarah had slept a pillow.
stim243,FILLER,sleep,yes,no,yes,Mary was sleeping a pillow again.
stim244,FILLER,sleep,yes,no,no,Sarah was sleeping a pillow.
stim249,FILLER,stagger,yes,yes,yes,John had staggered the pavement again.
stim250,FILLER,stagger,yes,yes,no,Paul had staggered the pavement.
stim251,FILLER,stagger,yes,no,yes,Tom was staggering the pavement again.
stim252,FILLER,stagger,yes,no,no,Betty was staggering the pavement.
stim257,FILLER,knock,yes,yes,yes,Betty had knocked a door again.
stim258,FILLER,knock,yes,yes,no,Diana had knocked a door.
stim259,FILLER,knock,yes,no,yes,Sarah was knocking a door again.
stim260,FILLER,knock,yes,no,no,Clara was knocking a door.
stim265,FILLER,limp,yes,yes,yes,John had limped a road again.
stim266,FILLER,limp,yes,yes,no,Paul had limped a road.
stim267,FILLER,limp,yes,no,yes,Paul was limping a road again.
stim268,FILLER,limp,yes,no,no,Mary was limping a road.
stim273,FILLER,fast,yes,yes,yes,Sarah had fasted sushi again.
stim274,FILLER,fast,yes,yes,no,Diana had fasted sushi.
stim275,FILLER,fast,yes,no,yes,Sam was fasting sushi again.
stim276,FILLER,fast,yes,no,no,Clara was fasting sushi.
stim281,FILLER,laugh,yes,yes,yes,Sean had laughed a joke again.
stim282,FILLER,laugh,yes,yes,no,Betty had laughed a joke.
stim283,FILLER,laugh,yes,no,yes,John was laughing a joke again.
stim284,FILLER,laugh,yes,no,no,John was laughing a joke.
stim289,FILLER,clap,yes,yes,yes,Mary had clapped a show again.
stim290,FILLER,clap,yes,yes,no,Tom had clapped a show.
stim291,FILLER,clap,yes,no,yes,Sean was clapping a show again.
stim292,FILLER,clap,yes,no,no,Mary was clapping a show.
stim297,FILLER,smile,yes,yes,yes,John had smiled a friend again.
stim298,FILLER,smile,yes,yes,no,Clara had smiled a friend.
stim299,FILLER,smile,yes,no,yes,Sean was smiling a friend again.
stim300,FILLER,smile,yes,no,no,Mary was smiling a friend.
stim305,FILLER,scream,yes,yes,yes,Tom had screamed a spider again.
stim306,FILLER,scream,yes,yes,no,Tom had screamed a spider.
stim307,FILLER,scream,yes,no,yes,Paul was screaming a spider again.
stim308,FILLER,scream,yes,no,no,Paul was screaming a spider.
stim313,FILLER,rest,yes,yes,yes,Tom had rested a bed again.
stim314,FILLER,rest,yes,yes,no,Betty had rested a bed.
stim315,FILLER,rest,yes,no,yes,Mary was resting a bed again.
stim316,FILLER,rest,yes,no,no,Betty was resting a bed.
